sale_price,lot_area,finished_living_area,bedrooms
286000,10680,2135,4
285000,11640,2269,4
284500,14145,1821,3
284200,10600,1777,2
284000,8466,1769,5
282500,11765,1797,3
281000,7406,1904,3
280500,7959,2114,3
280000,6000,2406,4
280000,8773,2146,3
278000,7837,1571,3
278000,10800,1912,3
277200,12600,1787,4
277000,4569,2037,4
276000,12100,2076,5
275000,14436,2157,5
275000,44023,720,2
275000,9045,1536,3
275000,14000,1310,4
275000,10956,2063,4
275000,11040,1845,4
275000,4056,1588,3
275000,10978,1935,4
274000,7911,2250,3
273400,22674,2467,3
272000,8333,1491,3
271000,10370,2057,4
270000,9880,2047,3
270000,21801,1821,4
270000,11440,2039,4
270000,9542,1934,4
270000,9600,1791,4
270000,12317,1561,4
270000,7024,2156,4
270000,9120,1951,4
270000,9627,1942,3
269900,9790,2207,3
269900,9600,2161,5
269300,10335,2751,4
268500,12287,1718,3
268000,11750,2178,3
266000,9600,2487,3
265000,9672,1748,4
265000,10890,2082,3
265000,15047,2907,4
265000,13618,1537,3
265000,8592,1616,4
265000,10140,2029,3
265000,8820,1734,4
264900,10140,1334,4
264000,12207,2249,3
263500,11680,1063,4
263000,9100,1994,4
262500,6931,1660,3
262500,11250,2120,4
261000,9000,1623,4
260000,4563,1556,5
260000,12009,1443,3
260000,7500,1524,3
260000,10680,1961,3
260000,13360,1677,3
260000,11444,1342,3
259900,8530,1474,3
259000,8760,2000,4
259000,4195,1556,5
257500,8695,1861,4
257000,9392,1455,3
257000,8923,1638,3
256500,4617,1556,5
255000,6270,2002,4
255000,10000,1666,3
255000,10440,1710,2
255000,8850,1376,3
255000,11868,3306,4
255000,29780,1981,4
255000,10199,1924,3
255000,10000,2432,4
255000,7945,1938,4
255000,20345,2347,4
252500,7300,2540,4
252000,6120,1485,3
251700,16989,1208,3
251000,9600,2499,4
250675,8697,1775,3
250000,9300,1264,3
250000,7136,1958,4
250000,13355,1414,3
250000,11912,2093,4
250000,9070,1448,4
250000,11084,1689,4
250000,9128,1606,4
250000,9400,2039,4
250000,10209,1854,4
250000,9364,1834,4
250000,12150,1795,4
250000,9600,2245,6
249000,12887,1463,3
248000,10855,2051,4
245000,12778,1805,4
245000,12321,1496,3
245000,9786,2069,4
245000,10382,1631,3
244900,10200,2165,4
244900,9880,1712,4
243000,10500,1624,4
243000,6474,1728,4
243000,9000,1792,4
243000,9731,2634,4
243000,8901,1483,2
242500,8346,2522,8
242000,9570,2102,4
240300,10400,1364,3
240000,6720,1436,3
240000,10985,1420,3
240000,12774,1224,3
240000,11360,1659,3
240000,8510,1559,4
240000,7200,1686,3
240000,7869,2617,3
239000,13710,2014,4
239000,9638,1485,3
238500,9750,1625,4
238000,9240,1211,2
237000,8239,1737,3
236900,10400,1176,3
235000,7840,1988,3
235000,9345,1926,3
235000,9337,1541,3
235000,10152,1634,3
235000,8750,1945,4
235000,8450,1695,4
235000,9760,1536,5
234600,11250,1670,4
234000,8792,1853,4
233000,11821,2188,4
233000,11376,2699,4
232000,10382,1496,3
231500,11424,1830,4
231500,8662,1639,4
230000,10507,2160,4
230000,10500,1652,3
230000,10416,1344,3
230000,10950,1374,3
230000,9638,1090,3
230000,9786,2137,3
230000,7995,981,4
230000,7200,1424,4
229000,10463,973,3
228360,10500,1622,4
228000,10011,1236,3
228000,8427,1811,3
228000,9500,2078,4
227500,8681,2228,2
227000,10634,1747,3
226000,11610,1642,3
225000,9038,1142,2
225000,8000,1256,3
225000,8136,1812,3
225000,11479,1564,3
225000,7000,1931,3
225000,10514,1498,3
225000,16578,1974,3
225000,6000,2402,4
225000,8800,1341,4
225000,8400,1933,4
225000,13312,2510,6
225000,5166,1211,3
224000,20039,2149,4
222500,8632,1334,3
222000,12000,1020,3
221500,10400,1781,4
221000,8400,1731,4
221000,6000,1546,2
221000,8346,1825,6
220000,14096,1177,3
220000,9510,1724,3
220000,7200,1762,4
220000,10366,1390,3
220000,10447,1177,3
220000,8521,1754,4
220000,6292,1477,3
220000,7993,1552,4
219000,9900,1392,3
219000,5160,1946,4
218000,9510,1908,4
218000,9200,1536,3
218000,10200,1608,3
218000,8700,1080,4
217500,26136,720,2
217500,12395,1536,3
217000,8777,1443,3
216400,9084,1374,4
215000,6000,1437,3
215000,6600,894,2
215000,7626,1961,3
215000,11400,1764,3
215000,7832,1639,5
212500,9600,1337,3
211500,8450,1639,4
211000,6300,1747,4
211000,9751,1128,3
210500,9600,1235,2
210000,8680,1259,3
210000,7200,1485,3
210000,9300,1084,3
210000,6000,1176,2
